symbol,sector,exchange
360ONE,Financial Services,NSE
3MINDIA,Diversified,NSE
ABB,Capital Goods,NSE
ACC,Construction Materials,NSE
ACMESOLAR,Power,NSE
AIAENG,Capital Goods,NSE
APLAPOLLO,Capital Goods,NSE
ASKAUTOLTD,Automobile and Auto Components,NSE
AUBANK,Financial Services,NSE
AWL,Fast Moving Consumer Goods,NSE
AXISCADES,Capital Goods,NSE
AADHARHFC,Financial Services,NSE
AARTIDRUGS,Healthcare,NSE
AARTIIND,Chemicals,NSE
AARTIPHARM,Healthcare,NSE
AAVAS,Financial Services,NSE
ABBOTINDIA,Healthcare,NSE
ACE,Capital Goods,NSE
ACUTAAS,Healthcare,NSE
ADANIENSOL,Power,NSE
ADANIENT,Metals & Mining,NSE
ADANIGREEN,Power,NSE
ADANIPORTS,Services,NSE
ADANIPOWER,Power,NSE
ATGL,Oil Gas & Consumable Fuels,NSE
ABCAPITAL,Financial Services,NSE
ABFRL,Consumer Services,NSE
ABLBL,Consumer Services,NSE
ABREL,Realty,NSE
ABSLAMC,Financial Services,NSE
CPPLUS,Capital Goods,NSE
AVL,Consumer Services,NSE
ADVENZYMES,Healthcare,NSE
AEGISLOG,Oil Gas & Consumable Fuels,NSE
AEGISVOPAK,Oil Gas & Consumable Fuels,NSE
AEQUS,Capital Goods,NSE
AETHER,Chemicals,NSE
AFCONS,Construction,NSE
AFFLE,Information Technology,NSE
AHLUCONT,Construction,NSE
AJANTPHARM,Healthcare,NSE
AKUMS,Healthcare,NSE
APLLTD,Healthcare,NSE
ALIVUS,Healthcare,NSE
ALKEM,Healthcare,NSE
ALKYLAMINE,Chemicals,NSE
ABDL,Fast Moving Consumer Goods,NSE
ALOKINDS,Textiles,NSE
ARE&M,Automobile and Auto Components,NSE
AMBER,Consumer Durables,NSE
AMBUJACEM,Construction Materials,NSE
ANANDRATHI,Financial Services,NSE
ANANTRAJ,Realty,NSE
ANGELONE,Financial Services,NSE
ANTHEM,Healthcare,NSE
ANURAS,Chemicals,NSE
APARINDS,Capital Goods,NSE
APOLLOHOSP,Healthcare,NSE
APOLLO,Capital Goods,NSE
APOLLOTYRE,Automobile and Auto Components,NSE
APTUS,Financial Services,NSE
ACI,Chemicals,NSE
ARVINDFASN,Consumer Services,NSE
ARVIND,Textiles,NSE
ASAHIINDIA,Automobile and Auto Components,NSE
ASHAPURMIN,Metals & Mining,NSE
ASHOKLEY,Capital Goods,NSE
ASHOKA,Construction,NSE
ASIANPAINT,Consumer Durables,NSE
ASTERDM,Healthcare,NSE
ASTRAMICRO,Capital Goods,NSE
ASTRAL,Capital Goods,NSE
ATHERENERG,Automobile and Auto Components,NSE
ATLANTAELE,Capital Goods,NSE
ATUL,Chemicals,NSE
AURIONPRO,Information Technology,NSE
AUROPHARMA,Healthcare,NSE
AIIL,Financial Services,NSE
AVALON,Capital Goods,NSE
AVANTIFEED,Fast Moving Consumer Goods,NSE
DMART,Consumer Services,NSE
CCAVENUE,Financial Services,NSE
AWFIS,Services,NSE
AXISBANK,Financial Services,NSE
AZAD,Capital Goods,NSE
BEML,Capital Goods,NSE
BLS,Consumer Services,NSE
BSE,Financial Services,NSE
BAJAJ-AUTO,Automobile and Auto Components,NSE
BAJAJELEC,Consumer Durables,NSE
BAJFINANCE,Financial Services,NSE
BAJAJFINSV,Financial Services,NSE
BAJAJHLDNG,Financial Services,NSE
BAJAJHFL,Financial Services,NSE
BALAMINES,Chemicals,NSE
BALKRISIND,Automobile and Auto Components,NSE
BALRAMCHIN,Fast Moving Consumer Goods,NSE
BALUFORGE,Capital Goods,NSE
BANCOINDIA,Automobile and Auto Components,NSE
BANDHANBNK,Financial Services,NSE
BANKBARODA,Financial Services,NSE
BANKINDIA,Financial Services,NSE
MAHABANK,Financial Services,NSE
BATAINDIA,Consumer Durables,NSE
BAYERCROP,Chemicals,NSE
BELRISE,Automobile and Auto Components,NSE
BERGEPAINT,Consumer Durables,NSE
BDL,Capital Goods,NSE
BEL,Capital Goods,NSE
BHARATFORG,Automobile and Auto Components,NSE
BHEL,Capital Goods,NSE
BPCL,Oil Gas & Consumable Fuels,NSE
BHARTIARTL,Telecommunication,NSE
BHARTIHEXA,Telecommunication,NSE
BIKAJI,Fast Moving Consumer Goods,NSE
GROWW,Financial Services,NSE
BIOCON,Healthcare,NSE
BIRLACORPN,Construction Materials,NSE
BSOFT,Information Technology,NSE
BBOX,Information Technology,NSE
BLACKBUCK,Services,NSE
BLUEDART,Services,NSE
BLUEJET,Healthcare,NSE
BLUESTARCO,Consumer Durables,NSE
BLUESTONE,Consumer Durables,NSE
BBTC,Fast Moving Consumer Goods,NSE
BORORENEW,Capital Goods,NSE
BOSCHLTD,Automobile and Auto Components,NSE
FIRSTCRY,Consumer Services,NSE
BRIGADE,Realty,NSE
BRITANNIA,Fast Moving Consumer Goods,NSE
MAPMYINDIA,Information Technology,NSE
CCL,Fast Moving Consumer Goods,NSE
CESC,Power,NSE
CGPOWER,Capital Goods,NSE
CIEINDIA,Automobile and Auto Components,NSE
CMSINFO,Services,NSE
CORONA,Healthcare,NSE
CRISIL,Financial Services,NSE
CSBBANK,Financial Services,NSE
CAMPUS,Consumer Durables,NSE
CANFINHOME,Financial Services,NSE
CANBK,Financial Services,NSE
CANHLIFE,Financial Services,NSE
CRAMC,Financial Services,NSE
CAPILLARY,Information Technology,NSE
CAPLIPOINT,Healthcare,NSE
CGCL,Financial Services,NSE
CARBORUNIV,Capital Goods,NSE
CARTRADE,Consumer Services,NSE
CASTROLIND,Oil Gas & Consumable Fuels,NSE
CEATLTD,Automobile and Auto Components,NSE
CELLO,Consumer Durables,NSE
CEMPRO,Construction,NSE
CENTRALBK,Financial Services,NSE
CDSL,Financial Services,NSE
CENTURYPLY,Consumer Durables,NSE
CERA,Consumer Durables,NSE
CHALET,Consumer Services,NSE
CHAMBLFERT,Chemicals,NSE
CHENNPETRO,Oil Gas & Consumable Fuels,NSE
CHOICEIN,Financial Services,NSE
CHOLAHLDNG,Financial Services,NSE
CHOLAFIN,Financial Services,NSE
CIPLA,Healthcare,NSE
CUB,Financial Services,NSE
CLEAN,Chemicals,NSE
COALINDIA,Oil Gas & Consumable Fuels,NSE
COCHINSHIP,Capital Goods,NSE
COFORGE,Information Technology,NSE
COHANCE,Healthcare,NSE
COLPAL,Fast Moving Consumer Goods,NSE
CAMS,Financial Services,NSE
CONCORDBIO,Healthcare,NSE
CONCOR,Services,NSE
COROMANDEL,Chemicals,NSE
CRAFTSMAN,Automobile and Auto Components,NSE
CREDITACC,Financial Services,NSE
CRIZAC,Consumer Services,NSE
CROMPTON,Consumer Durables,NSE
CUMMINSIND,Capital Goods,NSE
CUPID,Fast Moving Consumer Goods,NSE
CYIENT,Information Technology,NSE
DCBBANK,Financial Services,NSE
DCMSHRIRAM,Diversified,NSE
DLF,Realty,NSE
DOMS,Fast Moving Consumer Goods,NSE
DABUR,Fast Moving Consumer Goods,NSE
DALBHARAT,Construction Materials,NSE
DATAPATTNS,Capital Goods,NSE
DATAMATICS,Information Technology,NSE
DEEPAKFERT,Chemicals,NSE
DEEPAKNTR,Chemicals,NSE
DELHIVERY,Services,NSE
DEVYANI,Consumer Services,NSE
DIACABS,Capital Goods,NSE
DBL,Construction,NSE
DIVISLAB,Healthcare,NSE
DIXON,Consumer Durables,NSE
AGARWALEYE,Healthcare,NSE
LALPATHLAB,Healthcare,NSE
DRREDDY,Healthcare,NSE
DUMMYHEG,Metals & Mining,NSE
DUMMYINGL1,Healthcare,NSE
DUMMYINGL2,Fast Moving Consumer Goods,NSE
DUMMYINXGN,Construction,NSE
DUMMYTRVN,Capital Goods,NSE
DYNAMATECH,Capital Goods,NSE
EIDPARRY,Fast Moving Consumer Goods,NSE
EIHOTEL,Consumer Services,NSE
EPL,Capital Goods,NSE
EDELWEISS,Financial Services,NSE
EICHERMOT,Automobile and Auto Components,NSE
ELECON,Capital Goods,NSE
EMIL,Consumer Services,NSE
ELECTCAST,Capital Goods,NSE
ELGIEQUIP,Capital Goods,NSE
ELLEN,Chemicals,NSE
EMAMILTD,Fast Moving Consumer Goods,NSE
EMBDL,Realty,NSE
EMCURE,Healthcare,NSE
EMMVEE,Capital Goods,NSE
ENDURANCE,Automobile and Auto Components,NSE
ENGINERSIN,Construction,NSE
ENTERO,Consumer Services,NSE
EIEL,Utilities,NSE
EQUITASBNK,Financial Services,NSE
ERIS,Healthcare,NSE
ESCORTS,Capital Goods,NSE
ETERNAL,Consumer Services,NSE
ETHOSLTD,Consumer Durables,NSE
EUREKAFORB,Consumer Durables,NSE
EXIDEIND,Automobile and Auto Components,NSE
NYKAA,Consumer Services,NSE
FEDFINA,Financial Services,NSE
FEDERALBNK,Financial Services,NSE
FACT,Chemicals,NSE
FIEMIND,Automobile and Auto Components,NSE
FINCABLES,Capital Goods,NSE
FINPIPE,Capital Goods,NSE
FSL,Services,NSE
FIVESTAR,Financial Services,NSE
FORCEMOT,Automobile and Auto Components,NSE
FORTIS,Healthcare,NSE
UTLSOLAR,Capital Goods,NSE
GAIL,Oil Gas & Consumable Fuels,NSE
GVT&D,Capital Goods,NSE
GHCL,Chemicals,NSE
GMMPFAUDLR,Capital Goods,NSE
GMRAIRPORT,Services,NSE
GMRP&UI,Power,NSE
GABRIEL,Automobile and Auto Components,NSE
GALLANTT,Capital Goods,NSE
GRSE,Capital Goods,NSE
GRWRHITECH,Capital Goods,NSE
GICRE,Financial Services,NSE
GILLETTE,Fast Moving Consumer Goods,NSE
GLAND,Healthcare,NSE
GLAXO,Healthcare,NSE
GLENMARK,Healthcare,NSE
MEDANTA,Healthcare,NSE
GODIGIT,Financial Services,NSE
GPIL,Capital Goods,NSE
GODFRYPHLP,Fast Moving Consumer Goods,NSE
GODREJAGRO,Fast Moving Consumer Goods,NSE
GODREJCP,Fast Moving Consumer Goods,NSE
GODREJIND,Diversified,NSE
GODREJPROP,Realty,NSE
GOKEX,Textiles,NSE
GOKULAGRO,Fast Moving Consumer Goods,NSE
GRANULES,Healthcare,NSE
GRAPHITE,Capital Goods,NSE
GRASIM,Construction Materials,NSE
GRAVITA,Metals & Mining,NSE
GESHIP,Services,NSE
GREAVESCOT,Capital Goods,NSE
GRINDWELL,Capital Goods,NSE
GAEL,Fast Moving Consumer Goods,NSE
FLUOROCHEM,Chemicals,NSE
GMDCLTD,Metals & Mining,NSE
GNFC,Chemicals,NSE
GPPL,Services,NSE
GSFC,Chemicals,NSE
HGINFRA,Construction,NSE
HBLENGINE,Capital Goods,NSE
HCLTECH,Information Technology,NSE
HDBFS,Financial Services,NSE
HDFCAMC,Financial Services,NSE
HDFCBANK,Financial Services,NSE
HDFCLIFE,Financial Services,NSE
HEG,Capital Goods,NSE
HFCL,Telecommunication,NSE
HAPPSTMNDS,Information Technology,NSE
HAVELLS,Consumer Durables,NSE
HCG,Healthcare,NSE
HEMIPROP,Services,NSE
HERITGFOOD,Fast Moving Consumer Goods,NSE
HEROMOTOCO,Automobile and Auto Components,NSE
HEXT,Information Technology,NSE
HSCL,Chemicals,NSE
HINDALCO,Metals & Mining,NSE
HAL,Capital Goods,NSE
HCC,Construction,NSE
HINDCOPPER,Metals & Mining,NSE
HINDPETRO,Oil Gas & Consumable Fuels,NSE
HINDUNILVR,Fast Moving Consumer Goods,NSE
HINDZINC,Metals & Mining,NSE
POWERINDIA,Capital Goods,NSE
HOMEFIRST,Financial Services,NSE
HONASA,Fast Moving Consumer Goods,NSE
HONAUT,Capital Goods,NSE
HUDCO,Financial Services,NSE
HYUNDAI,Automobile and Auto Components,NSE
ICICIBANK,Financial Services,NSE
ICICIGI,Financial Services,NSE
ICICIAMC,Financial Services,NSE
ICICIPRULI,Financial Services,NSE
IDBI,Financial Services,NSE
IDFCFIRSTB,Financial Services,NSE
IFBIND,Consumer Durables,NSE
IFCI,Financial Services,NSE
IIFLCAPS,Financial Services,NSE
IIFL,Financial Services,NSE
INOXINDIA,Capital Goods,NSE
IRB,Construction,NSE
IRCON,Construction,NSE
ITCHOTELS,Consumer Services,NSE
ITC,Fast Moving Consumer Goods,NSE
ITI,Telecommunication,NSE
INDGN,Healthcare,NSE
INDIACEM,Construction Materials,NSE
INDIAGLYCO,Fast Moving Consumer Goods,NSE
INDIASHLTR,Financial Services,NSE
INDIAMART,Consumer Services,NSE
INDIANB,Financial Services,NSE
IEX,Financial Services,NSE
INDHOTEL,Consumer Services,NSE
IMFA,Metals & Mining,NSE
IOC,Oil Gas & Consumable Fuels,NSE
IOB,Financial Services,NSE
IRCTC,Consumer Services,NSE
IRFC,Financial Services,NSE
IREDA,Financial Services,NSE
INDIGOPNTS,Consumer Durables,NSE
ICIL,Textiles,NSE
IGL,Oil Gas & Consumable Fuels,NSE
INDUSTOWER,Telecommunication,NSE
INDUSINDBK,Financial Services,NSE
NAUKRI,Consumer Services,NSE
INFY,Information Technology,NSE
INOXGREEN,Services,NSE
INOXWIND,Capital Goods,NSE
INTELLECT,Information Technology,NSE
INDIGO,Services,NSE
IGIL,Services,NSE
IKS,Information Technology,NSE
IONEXCHANG,Utilities,NSE
IPCALAB,Healthcare,NSE
JKCEMENT,Construction Materials,NSE
JAIBALAJI,Metals & Mining,NSE
JBMA,Automobile and Auto Components,NSE
JKLAKSHMI,Construction Materials,NSE
JKPAPER,Forest Materials,NSE
JKTYRE,Automobile and Auto Components,NSE
JMFINANCIL,Financial Services,NSE
JSWCEMENT,Construction Materials,NSE
JSWDULUX,Consumer Durables,NSE
JSWENERGY,Power,NSE
JSWINFRA,Services,NSE
JSWSTEEL,Metals & Mining,NSE
JAINREC,Metals & Mining,NSE
JPPOWER,Power,NSE
J&KBANK,Financial Services,NSE
JAMNAAUTO,Automobile and Auto Components,NSE
JSFB,Financial Services,NSE
JAYNECOIND,Capital Goods,NSE
JSLL,Consumer Services,NSE
JINDALSAW,Capital Goods,NSE
JSL,Metals & Mining,NSE
JINDALSTEL,Metals & Mining,NSE
JIOFIN,Financial Services,NSE
JUBLFOOD,Consumer Services,NSE
JUBLINGREA,Chemicals,NSE
JUBLPHARMA,Healthcare,NSE
JLHL,Healthcare,NSE
JWL,Capital Goods,NSE
JUSTDIAL,Consumer Services,NSE
JYOTHYLAB,Fast Moving Consumer Goods,NSE
JYOTICNC,Capital Goods,NSE
KPRMILL,Textiles,NSE
KEI,Capital Goods,NSE
KNRCON,Construction,NSE
KPIGREEN,Power,NSE
